country,pop,whpw,isr10,iu,munemployment,popdens,vac,adi,wbdhe,arppc,albsoap,albwsoap,cm,c02,demox,funemployment,gdp,povrate,lex
Saudi Arabia,30.4M,,,93.3,1.98,14.1,1.3,48.7,5.34063101,,95.3,98.7,7.06,17.1,19.3,19.1,46.7k,1.01,74.3
Senegal,15.9M,,30.8,35.3,,82.7,2.7,5.98,4.43182087,62.8,56.0,81.5,43.6,0.942,61.5,,3370,74.5,68.0
Serbia,7.02M,39.0,25.4,73.4,11.7,91.5,5.4,16.0,8.53168106,153,97.8,94.5,5.55,5.17,64.1,14.1,17.4k,8.78,75.6
Seychelles,115k,41.3,23.9,69.2,2.54,252,,22.3,4.94443846,,99.2,96.2,14.4,6.75,,2.3,30.3k,6.58,73.5
Sierra Leone,7.55M,,29.4,15.8,,105,0.7,3.89,8.28987598,67.3,19.2,60.8,105.0,0.141,46.6,,1610,89.5,61.2
Singapore,5.63M,44.2,,88.2,,8250,2.1,116.0,4.07545424,,100.0,100.0,2.81,28.0,63.8,,97.5k,0.02,84.7
Sint Maarten (Dutch part),,,,,,1170,,,,,,,,,,,,,
Slovak Republic,5.44M,38.8,19.6,80.4,5.68,111,2.6,25.4,6.67,,97.5,99.8,5.59,7.72,71.0,6.66,31.3k,3.58,77.5
Slovenia,2.07M,38.5,21.0,79.8,4.22,103,5.8,42.5,8.28,,98.5,99.5,2.14,10.0,75.0,5.7,37.9k,0.15,81.4
Small states,,,,,,,,,6.00183015128229,,,,,,,,,,
Solomon Islands,709k,,,20.9,,24.6,,4.19,3.77378345,276,34.2,67.0,20.0,0.273,,,2550,87.2,59.0
Somalia,15.5M,,,,,24.6,,2.67,,102,37.2,53.4,122.0,0.047,,,1210,93.7,57.9
South Africa,58.6M,42.1,,62.4,23.2,48,4.7,11.9,8.08820343,15.7,74.6,93.0,33.8,5.42,72.4,27.2,14k,60.5,64.4
South Asia,,,,,,,,,2.90913088784893,,,,,,,,,,
South Asia (IDA & IBRD),,,,,,,,,2.90913088784893,,,,,,,,,,
South Korea,51.6M,41.2,24.8,96.0,3.84,522,5.1,45.5,,,99.9,99.7,3.19,13.9,80.0,3.56,41.9k,0.79,82.9
South Sudan,10.1M,,,4.8,,17.9,,1.87,10.05615997,156,14.5,41.0,98.6,0.171,,,435,96.8,63.0
Spain,47.1M,37.4,25.3,86.1,12.2,93.7,5.0,44.9,8.99686718,,99.9,99.9,3.03,6.35,80.8,16.2,39.9k,2.51,83.1
Sri Lanka,22.3M,41.7,,28.3,1.56,355,0.7,9.19,3.64,−11.4,91.6,88.1,7.44,1.68,61.9,5.13,13.7k,48.4,77.2
St. Barthélemy,,,,,,459,,,,,,,,,,,,,
St. Helena,,,,,,14.1,,,,,,,,,,,,,
St. Kitts and Nevis,47k,,,68.6,,181,,29.4,4.89200258,,,,12.0,4.62,,,30.2k,2.41,72.1
St. Lucia,177k,40.6,,69.4,13.6,287,,21.2,4.18686533,48.4,83.4,96.9,16.6,2.31,,18.5,15.7k,6.64,75.1
St. Martin (French part),,,,,,679,,,,,100.0,99.9,,,,,,,
St. Vincent and the Grenadines,105k,,,56.0,,269,,14.2,4.25346231,173,89.7,97.7,16.4,2.03,,,14k,24.2,72.8
St.-Pierre-et-Miquelon,,,,,,25.7,,,,,,,,,,,,,
Sub-Saharan Africa,,,,,,,,,4.77945993772722,,,,,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,,4.77945993772722,,,,,,,,,,
Sub-Saharan Africa (excluding high income),,,,,,,,,4.77929335949143,,,,,,,,,,
Sudan,44.2M,,,24.6,,25.1,,4.16,4.46358299,21.9,36.7,60.5,60.5,0.504,21.5,,4350,87.8,70.1
Suriname,600k,,,55.1,,3.84,,18.6,6.68795872,23.7,88.5,97.1,18.9,3.1,69.8,,18.4k,13.3,72.6
Sweden,10.2M,35.9,22.9,89.2,5.09,25,2.2,56.6,10.94,,98.9,99.7,2.71,7.13,93.9,5.25,52k,0.95,82.7
Switzerland,8.52M,36.4,25.8,91.8,3.92,213,9.3,77.1,10.77226162,,99.9,100.0,4.12,14.6,90.3,5.21,68.7k,0.15,83.9
Syria,19.6M,,,33.8,,107,,6.13,,510,93.6,93.7,16.7,1.67,14.3,,3740,69.5,73.2
Syrian Arab Republic,,,,,,,,,,,,,,,,,,,
Taiwan,23.7M,,,,3.68,668,3.7,48.5,,,,,4.56,12.3,77.3,2.89,49.8k,0.33,80.2
Tajikistan,9.31M,,,,,65,0.7,7.5,7.01,43.4,96.4,80.4,34.8,1.47,19.3,,3410,59.8,69.2
Tanzania,57.4M,,33.1,17.1,,64.8,0.6,3.29,4.16191673,42.7,27.9,55.1,53.0,0.301,54.1,,2510,92.0,66.7
Thailand,71.4M,42.5,28.1,56.8,0.54,140,1.2,16.0,3.87040329,−5.87,98.1,99.5,9.1,3.76,46.3,0.44,17.7k,16.4,78.3
Timor-Leste,1.28M,,,27.6,,85.8,,3.29,6.36952639,163,54.1,80.8,45.8,0.412,71.9,,3070,94.4,70.5
Togo,8.26M,,33.0,15.5,,152,3.1,4.55,6.08894634,40.8,17.8,66.7,69.8,0.982,31.0,,2020,84.8,64.5
Tokelau,,,,,,156,,,,,,,,,,,,,
Tonga,106k,34.4,,53.4,2.29,162,,9.41,4.80628061,923,94.3,98.7,15.6,1.31,,2.04,6290,31.3,72.9
Trinidad and Tobago,1.47M,,,72.8,,287,,26.3,6.5323596,,93.9,98.9,18.3,15.2,71.6,,25.9k,5.83,74.8
Tunisia,11.8M,,,64.2,,75.7,2.6,14.2,5.9375186,68.6,95.3,95.7,17.0,2.34,64.1,,11k,16.2,77.5
Turkey,84.4M,45.2,32.6,71.0,8.25,110,3.5,22.5,,14.7,98.1,96.7,10.6,5.13,43.7,12.5,28.4k,11.1,78.1
Turkiye,,,,,,,,,4.12,,,,,,,,,,
Turkmenistan,6.66M,,,,,14.2,5.4,12.2,5.69395018,3.07,98.6,99.3,45.8,13.7,17.2,,16.6k,56.4,70.6
Turks and Caicos Islands,,,,,,43.7,,,,,93.1,98.7,,,,,,,
Tuvalu,10.8k,,,,,358,,10.7,18.64067841,2550,83.5,99.2,24.4,1.01,,,4280,47.7,67.8
UAE,9.35M,,20.5,98.5,,132,2.5,78.8,,,99.1,100.0,7.59,23.5,27.6,,71.2k,0.4,73.7
UK,66.8M,35.8,25.4,90.7,2.86,275,3.6,54.4,,,99.1,100.0,4.26,8.02,85.3,3.08,45.8k,0.79,81.0
USA,335M,36.9,30.3,88.5,3.19,36.6,6.1,80.6,,,99.7,99.7,6.53,17.4,79.6,3.36,61k,1.13,79.0
Uganda,41.6M,,,6.0,,208,1.6,3.52,4.02080536,46.8,20.2,52.7,46.4,0.187,52.0,,2190,90.1,65.7
Ukraine,45.2M,,22.0,62.6,10.3,78,4.3,13.6,7.52,27.1,97.7,93.5,8.73,4.77,56.9,6.92,12.3k,10.0,73.9
United Arab Emirates,,,,,,,,,4.09854221,,,,,,,,,,
United Kingdom,,,,,,,,,9.73079777,,,,,,,,,,
United States,,,,,,,,,16.62964439,,,,,,,,,,
Upper middle income,,,,,,,,,5.65199746845016,,,,,,,,,,
Uruguay,3.39M,42.1,29.7,80.7,4.15,19.6,2.4,29.3,9.01452351,,97.5,99.5,7.58,3.08,83.8,7.58,23.6k,5.38,77.5
Uzbekistan,32.4M,,,55.2,,76.1,0.5,3.27,5.08,32.7,95.8,95.2,21.4,2.81,20.1,,7120,25.7,68.1
Vanuatu,285k,,,39.5,,23.4,,5.42,3.31753612,459,48.9,89.6,26.4,0.529,,,3110,74.5,65.3
Venezuela,29.8M,,,,,32.5,0.1,6.66,,5,96.2,94.0,24.5,1.17,31.6,,10.4k,65.8,75.4
"Venezuela, RB",,,,,,,,,2.41691327,,,,,,,,,,
Viet Nam,,,,,,,,,5.02678823,,,,,,,,,,
Vietnam,96.2M,41.2,27.5,69.8,0.84,307,1.4,13.5,,17.1,84.8,95.2,20.7,1.81,30.8,0.64,9640,23.6,74.3
Virgin Islands (U.S.),,,,,,264,,,,,99.1,98.7,,,,,,,
Wallis et Futuna,,,,,,84.3,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,1.98,,,,,,,,,,,,,
World,,,,,,,,,9.6772232572317,,,,,,,,,,
Yemen,34.1M,,,,,64.6,1.8,2.52,,234,53.1,58.8,55.0,0.356,19.5,,2000,93.4,66.1
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,
Zambia,18M,40.2,,14.3,8.79,24.2,2.3,3.03,4.76996708,55.7,34.7,65.9,57.8,0.467,56.1,10.9,3370,91.2,62.5
Zimbabwe,15M,,,25.0,,38.9,0.6,4.45,4.67039156,52.8,36.4,63.5,46.2,0.83,31.6,,2400,83.0,60.6
